number;quantity;;;;;;;;;;;;;
-59;16;;;;;;;;;;;;;
-58;18;;;;;;;;;;;;;
-57;17;;;;;;;;;;;;;
-56;18;;;;;;;;;;;;;
-55;16;;;;;;;;;;;;;
-54;26;;;;;;;;;;;;;
-53;17;;;;;;;;;;;;;
-52;39;;;;;;;;;;;;;
-51;26;;;;;;;;;;;;;
-50;23;;;;;;;;;;;;;
-49;43;;;;;;;;;;;;;
-48;48;;;;;;;;;;;;;
-47;38;;;;;;;;;;;;;
-46;57;;;;;;;;;;;;;
-45;46;;;;;;;;;;;;;
-44;52;;;;;;;;;;;;;
-43;45;;;;;;;;;;;;;
-42;59;;;;;;;;;;;;;
-41;68;;;;;;;;;;;;;
-40;70;;;;;;;;;;;;;
-39;92;;;;;;;;;;;;;
-38;84;;;;;;;;;;;;;
-37;96;;;;;;;;;;;;;
-36;98;;;;;;;;;;;;;
-35;125;;;;;;;;;;;;;
-34;150;;;;;;;;;;;;;
-33;154;;;;;;;;;;;;;
-32;165;;;;;;;;;;;;;
-31;177;;;;;;;;;;;;;
-30;190;;;;;;;;;;;;;
-29;226;;;;;;;;;;;;;
-28;208;;;;;;;;;;;;;
-27;264;;;;;;;;;;;;;
-26;317;;;;;;;;;;;;;
-25;359;;;;;;;;;;;;;
-24;373;;;;;;;;;;;;;
-23;408;;;;;;;;;;;;;
-22;490;;;;;;;;;;;;;
-21;561;;;;;;;;;;;;;
-20;703;;;;;;;;;;;;;
-19;832;;;;;;;;;;;;;
-18;963;;;;;;;;;;;;;
-17;1140;;;;;;;;;;;;;
-16;1336;;;;;;;;;;;;;
-15;1719;;;;;;;;;;;;;
-14;2184;;;;;;;;;;;;;
-13;2605;;;;;;;;;;;;;
-12;3103;;;;;;;;;;;;;
-11;3792;;;;;;;;;;;;;
-10;4785;;;;;;;;;;;;;
-9;5653;;;;;;;;;;;;;
-8;6764;;;;;;;;;;;;;
-7;8052;;;;;;;;;;;;;
-6;9370;;;;;;;;;;;;;
-5;10730;;;;;;;;;;;;;
-4;11932;;;;;;;;;;;;;
-3;13128;;;;;;;;;;;;;
-2;13992;;;;;;;;;;;;;
-1;14367;;;;;;;;;;;;;
0;17863;;;;;;;;;;;;;
1;14347;;;;;;;;;;;;;
2;14035;;;;;;;;;;;;;
3;13033;;;;;;;;;;;;;
4;11978;;;;;;;;;;;;;
5;10455;;;;;;;;;;;;;
6;9211;;;;;;;;;;;;;
7;7875;;;;;;;;;;;;;
8;6625;;;;;;;;;;;;;
9;5486;;;;;;;;;;;;;
10;4492;;;;;;;;;;;;;
11;3708;;;;;;;;;;;;;
12;3113;;;;;;;;;;;;;
13;2473;;;;;;;;;;;;;
14;2038;;;;;;;;;;;;;
15;1634;;;;;;;;;;;;;
16;1330;;;;;;;;;;;;;
17;1131;;;;;;;;;;;;;
18;955;;;;;;;;;;;;;
19;822;;;;;;;;;;;;;
20;642;;;;;;;;;;;;;
21;606;;;;;;;;;;;;;
22;520;;;;;;;;;;;;;
23;433;;;;;;;;;;;;;
24;389;;;;;;;;;;;;;
25;347;;;;;;;;;;;;;
26;301;;;;;;;;;;;;;
27;271;;;;;;;;;;;;;
28;233;;;;;;;;;;;;;
29;223;;;;;;;;;;;;;
30;214;;;;;;;;;;;;;
31;176;;;;;;;;;;;;;
32;162;;;;;;;;;;;;;
33;144;;;;;;;;;;;;;
34;126;;;;;;;;;;;;;
35;110;;;;;;;;;;;;;
36;96;;;;;;;;;;;;;
37;85;;;;;;;;;;;;;
38;79;;;;;;;;;;;;;
39;67;;;;;;;;;;;;;
40;66;;;;;;;;;;;;;
41;63;;;;;;;;;;;;;
42;52;;;;;;;;;;;;;
43;63;;;;;;;;;;;;;
44;39;;;;;;;;;;;;;
45;39;;;;;;;;;;;;;
46;27;;;;;;;;;;;;;
47;43;;;;;;;;;;;;;
48;28;;;;;;;;;;;;;
49;27;;;;;;;;;;;;;
50;17;;;;;;;;;;;;;
51;18;;;;;;;;;;;;;
52;19;;;;;;;;;;;;;
53;17;;;;;;;;;;;;;
54;14;;;;;;;;;;;;;
55;16;;;;;;;;;;;;;
56;8;;;;;;;;;;;;;
57;12;;;;;;;;;;;;;
58;7;;;;;;;;;;;;;
59;12;;;;;;;;;;;;;
60;6;;;;;;;;;;;;;
61;9;;;;;;;;;;;;;
62;11;;;;;;;;;;;;;
63;5;;;;;;;;;;;;;
64;6;;;;;;;;;;;;;
65;7;;;;;;;;;;;;;
66;5;;;;;;;;;;;;;
67;1;;;;;;;;;;;;;
68;1;;;;;;;;;;;;;
69;1;;;;;;;;;;;;;
70;3;;;;;;;;;;;;;
71;4;;;;;;;;;;;;;
73;2;;;;;;;;;;;;;
74;3;;;;;;;;;;;;;
77;1;;;;;;;;;;;;;
78;1;;;;;;;;;;;;;
79;1;;;;;;;;;;;;;
80;1;;;;;;;;;;;;;
81;2;;;;;;;;;;;;;
82;1;;;;;;;;;;;;;
84;1;;;;;;;;;;;;;
85;2;;;;;;;;;;;;;
87;3;;;;;;;;;;;;;
89;1;;;;;;;;;;;;;
92;1;;;;;;;;;;;;;
93;1;;;;;;;;;;;;;
99;1;;;;;;;;;;;;;
100;1;;;;;;;;;;;;;
104;1;;;;;;;;;;;;;
114;1;;;;;;;;;;;;;
;;;;;;;;;;;;;;
-155;1;;;;;;;;;;;;;
-147;1;;;;;;;;;;;;;
-141;1;;;;;;;;;;;;;
-139;1;;;;;;;;;;;;;
-138;1;;;;;;;;;;;;;
-136;1;;;;;;;;;;;;;
-135;1;;;;;;;;;;;;;
-132;1;;;;;;;;;;;;;
-131;1;;;;;;;;;;;;;
-130;1;;;;;;;;;;;;;
-127;1;;;;;;;;;;;;;
-125;2;;;;;;;;;;;;;
-123;5;;;;;;;;;;;;;
-121;1;;;;;;;;;;;;;
-118;1;;;;;;;;;;;;;
-115;2;;;;;;;;;;;;;
-114;3;;;;;;;;;;;;;
-113;1;;;;;;;;;;;;;
-112;2;;;;;;;;;;;;;
-111;4;;;;;;;;;;;;;
-109;4;;;;;;;;;;;;;
-108;1;;;;;;;;;;;;;
-106;1;;;;;;;;;;;;;
-104;2;;;;;;;;;;;;;
-103;1;;;;;;;;;;;;;
-102;5;;;;;;;;;;;;;
-101;2;;;;;;;;;;;;;
-100;5;;;;;;;;;;;;;
-99;4;;;;;;;;;;;;;
-96;3;;;;;;;;;;;;;
-95;4;;;;;;;;;;;;;
-94;4;;;;;;;;;;;;;
-92;4;;;;;;;;;;;;;
-91;1;;;;;;;;;;;;;
-90;1;;;;;;;;;;;;;
-89;5;;;;;;;;;;;;;
-88;7;;;;;;;;;;;;;
-87;5;;;;;;;;;;;;;
-86;5;;;;;;;;;;;;;
-85;5;;;;;;;;;;;;;
-84;6;;;;;;;;;;;;;
-83;5;;;;;;;;;;;;;
-82;6;;;;;;;;;;;;;
-81;9;;;;;;;;;;;;;
-80;4;;;;;;;;;;;;;
-79;7;;;;;;;;;;;;;
-78;8;;;;;;;;;;;;;
-77;2;;;;;;;;;;;;;
-76;7;;;;;;;;;;;;;
-75;5;;;;;;;;;;;;;
-74;11;;;;;;;;;;;;;
-73;9;;;;;;;;;;;;;
-72;4;;;;;;;;;;;;;
-71;10;;;;;;;;;;;;;
-70;12;;;;;;;;;;;;;
-69;12;;;;;;;;;;;;;
-68;9;;;;;;;;;;;;;
-67;11;;;;;;;;;;;;;
-66;10;;;;;;;;;;;;;
-65;14;;;;;;;;;;;;;
-64;12;;;;;;;;;;;;;
-63;17;;;;;;;;;;;;;
-62;8;;;;;;;;;;;;;
-61;12;;;;;;;;;;;;;
-60;14;;;;;;;;;;;;;
-59;18;;;;;;;;;;;;;
-58;12;;;;;;;;;;;;;
-57;16;;;;;;;;;;;;;
-56;22;;;;;;;;;;;;;
-55;15;;;;;;;;;;;;;
-54;22;;;;;;;;;;;;;
-53;26;;;;;;;;;;;;;
-52;33;;;;;;;;;;;;;
-51;19;;;;;;;;;;;;;
-50;19;;;;;;;;;;;;;
-49;29;;;;;;;;;;;;;
-48;35;;;;;;;;;;;;;
-47;29;;;;;;;;;;;;;
-46;38;;;;;;;;;;;;;
-45;29;;;;;;;;;;;;;
-44;37;;;;;;;;;;;;;
-43;42;;;;;;;;;;;;;
-42;40;;;;;;;;;;;;;
-41;59;;;;;;;;;;;;;
-40;43;;;;;;;;;;;;;
-39;35;;;;;;;;;;;;;
-38;62;;;;;;;;;;;;;
-37;51;;;;;;;;;;;;;
-36;60;;;;;;;;;;;;;
-35;58;;;;;;;;;;;;;
-34;67;;;;;;;;;;;;;
-33;80;;;;;;;;;;;;;
-32;88;;;;;;;;;;;;;
-31;99;;;;;;;;;;;;;
-30;85;;;;;;;;;;;;;
-29;85;;;;;;;;;;;;;
-28;97;;;;;;;;;;;;;
-27;103;;;;;;;;;;;;;
-26;106;;;;;;;;;;;;;
-25;119;;;;;;;;;;;;;
-24;119;;;;;;;;;;;;;
-23;136;;;;;;;;;;;;;
-22;130;;;;;;;;;;;;;
-21;143;;;;;;;;;;;;;
-20;178;;;;;;;;;;;;;
-19;212;;;;;;;;;;;;;
-18;223;;;;;;;;;;;;;
-17;239;;;;;;;;;;;;;
-16;248;;;;;;;;;;;;;
-15;319;;;;;;;;;;;;;
-14;349;;;;;;;;;;;;;
-13;388;;;;;;;;;;;;;
-12;433;;;;;;;;;;;;;
-11;544;;;;;;;;;;;;;
-10;660;;;;;;;;;;;;;
-9;809;;;;;;;;;;;;;
-8;1057;;;;;;;;;;;;;
-7;1363;;;;;;;;;;;;;
-6;1731;;;;;;;;;;;;;
-5;2163;;;;;;;;;;;;;
-4;2887;;;;;;;;;;;;;
-3;3603;;;;;;;;;;;;;
-2;4305;;;;;;;;;;;;;
-1;4912;;;;;;;;;;;;;
0;5624;;;;;;;;;;;;;
1;5008;;;;;;;;;;;;;
2;4357;;;;;;;;;;;;;
3;3703;;;;;;;;;;;;;
4;3045;;;;;;;;;;;;;
5;2373;;;;;;;;;;;;;
6;1776;;;;;;;;;;;;;
7;1384;;;;;;;;;;;;;
8;1133;;;;;;;;;;;;;
9;894;;;;;;;;;;;;;
10;736;;;;;;;;;;;;;
11;618;;;;;;;;;;;;;
12;488;;;;;;;;;;;;;
13;405;;;;;;;;;;;;;
14;374;;;;;;;;;;;;;
15;298;;;;;;;;;;;;;
16;282;;;;;;;;;;;;;
17;259;;;;;;;;;;;;;
18;247;;;;;;;;;;;;;
19;206;;;;;;;;;;;;;
20;187;;;;;;;;;;;;;
21;152;;;;;;;;;;;;;
22;145;;;;;;;;;;;;;
23;166;;;;;;;;;;;;;
24;112;;;;;;;;;;;;;
25;106;;;;;;;;;;;;;
26;112;;;;;;;;;;;;;
27;101;;;;;;;;;;;;;
28;99;;;;;;;;;;;;;
29;77;;;;;;;;;;;;;
30;80;;;;;;;;;;;;;
31;71;;;;;;;;;;;;;
32;68;;;;;;;;;;;;;
33;54;;;;;;;;;;;;;
34;54;;;;;;;;;;;;;
35;55;;;;;;;;;;;;;
36;53;;;;;;;;;;;;;
37;46;;;;;;;;;;;;;
38;28;;;;;;;;;;;;;
39;38;;;;;;;;;;;;;
40;44;;;;;;;;;;;;;
41;45;;;;;;;;;;;;;
42;31;;;;;;;;;;;;;
43;32;;;;;;;;;;;;;
44;31;;;;;;;;;;;;;
45;37;;;;;;;;;;;;;
46;36;;;;;;;;;;;;;
47;22;;;;;;;;;;;;;
48;26;;;;;;;;;;;;;
49;26;;;;;;;;;;;;;
50;21;;;;;;;;;;;;;
51;24;;;;;;;;;;;;;
52;20;;;;;;;;;;;;;
53;34;;;;;;;;;;;;;
54;20;;;;;;;;;;;;;
55;21;;;;;;;;;;;;;
56;15;;;;;;;;;;;;;
57;17;;;;;;;;;;;;;
58;15;;;;;;;;;;;;;
59;14;;;;;;;;;;;;;
60;6;;;;;;;;;;;;;
61;13;;;;;;;;;;;;;
62;12;;;;;;;;;;;;;
63;10;;;;;;;;;;;;;
64;7;;;;;;;;;;;;;
65;9;;;;;;;;;;;;;
66;14;;;;;;;;;;;;;
67;8;;;;;;;;;;;;;
68;10;;;;;;;;;;;;;
69;8;;;;;;;;;;;;;
70;8;;;;;;;;;;;;;
71;7;;;;;;;;;;;;;
72;4;;;;;;;;;;;;;
73;8;;;;;;;;;;;;;
74;12;;;;;;;;;;;;;
75;6;;;;;;;;;;;;;
76;9;;;;;;;;;;;;;
77;6;;;;;;;;;;;;;
78;4;;;;;;;;;;;;;
79;6;;;;;;;;;;;;;
80;4;;;;;;;;;;;;;
81;6;;;;;;;;;;;;;
82;6;;;;;;;;;;;;;
83;4;;;;;;;;;;;;;
84;5;;;;;;;;;;;;;
85;2;;;;;;;;;;;;;
86;2;;;;;;;;;;;;;
87;3;;;;;;;;;;;;;
88;4;;;;;;;;;;;;;
89;4;;;;;;;;;;;;;
90;2;;;;;;;;;;;;;
91;3;;;;;;;;;;;;;
92;2;;;;;;;;;;;;;
93;1;;;;;;;;;;;;;
94;1;;;;;;;;;;;;;
95;1;;;;;;;;;;;;;
97;1;;;;;;;;;;;;;
104;1;;;;;;;;;;;;;
105;2;;;;;;;;;;;;;
106;1;;;;;;;;;;;;;
110;1;;;;;;;;;;;;;
113;2;;;;;;;;;;;;;
115;1;;;;;;;;;;;;;
;;;;;;;;;;;;;;
-95;1;;;;;;;;;;;;;
-92;1;;;;;;;;;;;;;
-90;1;;;;;;;;;;;;;
-88;2;;;;;;;;;;;;;
-87;3;;;;;;;;;;;;;
-86;5;;;;;;;;;;;;;
-84;1;;;;;;;;;;;;;
-83;1;;;;;;;;;;;;;
-82;3;;;;;;;;;;;;;
-81;3;;;;;;;;;;;;;
-80;2;;;;;;;;;;;;;
-79;2;;;;;;;;;;;;;
-78;4;;;;;;;;;;;;;
-77;6;;;;;;;;;;;;;
-76;3;;;;;;;;;;;;;
-75;2;;;;;;;;;;;;;
-74;4;;;;;;;;;;;;;
-73;10;;;;;;;;;;;;;
-72;4;;;;;;;;;;;;;
-71;6;;;;;;;;;;;;;
-70;8;;;;;;;;;;;;;
-69;6;;;;;;;;;;;;;
-68;10;;;;;;;;;;;;;
-67;6;;;;;;;;;;;;;
-66;7;;;;;;;;;;;;;
-65;9;;;;;;;;;;;;;
-64;5;;;;;;;;;;;;;
-63;2;;;;;;;;;;;;;
-62;5;;;;;;;;;;;;;
-61;10;;;;;;;;;;;;;
-60;7;;;;;;;;;;;;;
-59;9;;;;;;;;;;;;;
-58;13;;;;;;;;;;;;;
-57;14;;;;;;;;;;;;;
-56;9;;;;;;;;;;;;;
-55;13;;;;;;;;;;;;;
-54;11;;;;;;;;;;;;;
-53;9;;;;;;;;;;;;;
-52;12;;;;;;;;;;;;;
-51;18;;;;;;;;;;;;;
-50;15;;;;;;;;;;;;;
-49;17;;;;;;;;;;;;;
-48;19;;;;;;;;;;;;;
-47;20;;;;;;;;;;;;;
-46;23;;;;;;;;;;;;;
-45;28;;;;;;;;;;;;;
-44;27;;;;;;;;;;;;;
-43;35;;;;;;;;;;;;;
-42;39;;;;;;;;;;;;;
-41;30;;;;;;;;;;;;;
-40;39;;;;;;;;;;;;;
-39;52;;;;;;;;;;;;;
-38;44;;;;;;;;;;;;;
-37;63;;;;;;;;;;;;;
-36;64;;;;;;;;;;;;;
-35;75;;;;;;;;;;;;;
-34;65;;;;;;;;;;;;;
-33;91;;;;;;;;;;;;;
-32;94;;;;;;;;;;;;;
-31;96;;;;;;;;;;;;;
-30;136;;;;;;;;;;;;;
-29;140;;;;;;;;;;;;;
-28;154;;;;;;;;;;;;;
-27;171;;;;;;;;;;;;;
-26;195;;;;;;;;;;;;;
-25;183;;;;;;;;;;;;;
-24;246;;;;;;;;;;;;;
-23;275;;;;;;;;;;;;;
-22;292;;;;;;;;;;;;;
-21;310;;;;;;;;;;;;;
-20;391;;;;;;;;;;;;;
-19;462;;;;;;;;;;;;;
-18;522;;;;;;;;;;;;;
-17;575;;;;;;;;;;;;;
-16;645;;;;;;;;;;;;;
-15;756;;;;;;;;;;;;;
-14;908;;;;;;;;;;;;;
-13;1076;;;;;;;;;;;;;
-12;1355;;;;;;;;;;;;;
-11;1638;;;;;;;;;;;;;
-10;2058;;;;;;;;;;;;;
-9;2734;;;;;;;;;;;;;
-8;3619;;;;;;;;;;;;;
-7;4950;;;;;;;;;;;;;
-6;6683;;;;;;;;;;;;;
-5;9034;;;;;;;;;;;;;
-4;12416;;;;;;;;;;;;;
-3;16643;;;;;;;;;;;;;
-2;20697;;;;;;;;;;;;;
-1;24328;;;;;;;;;;;;;
0;29106;;;;;;;;;;;;;
1;24736;;;;;;;;;;;;;
2;21346;;;;;;;;;;;;;
3;17084;;;;;;;;;;;;;
4;12725;;;;;;;;;;;;;
5;9629;;;;;;;;;;;;;
6;6900;;;;;;;;;;;;;
7;5047;;;;;;;;;;;;;
8;3787;;;;;;;;;;;;;
9;2776;;;;;;;;;;;;;
10;2143;;;;;;;;;;;;;
11;1667;;;;;;;;;;;;;
12;1351;;;;;;;;;;;;;
13;1095;;;;;;;;;;;;;
14;897;;;;;;;;;;;;;
15;753;;;;;;;;;;;;;
16;651;;;;;;;;;;;;;
17;567;;;;;;;;;;;;;
18;503;;;;;;;;;;;;;
19;395;;;;;;;;;;;;;
20;336;;;;;;;;;;;;;
21;326;;;;;;;;;;;;;
22;272;;;;;;;;;;;;;
23;245;;;;;;;;;;;;;
24;247;;;;;;;;;;;;;
25;191;;;;;;;;;;;;;
26;174;;;;;;;;;;;;;
27;159;;;;;;;;;;;;;
28;140;;;;;;;;;;;;;
29;101;;;;;;;;;;;;;
30;124;;;;;;;;;;;;;
31;111;;;;;;;;;;;;;
32;106;;;;;;;;;;;;;
33;72;;;;;;;;;;;;;
34;75;;;;;;;;;;;;;
35;52;;;;;;;;;;;;;
36;50;;;;;;;;;;;;;
37;67;;;;;;;;;;;;;
38;55;;;;;;;;;;;;;
39;30;;;;;;;;;;;;;
40;33;;;;;;;;;;;;;
41;29;;;;;;;;;;;;;
42;23;;;;;;;;;;;;;
43;18;;;;;;;;;;;;;
44;18;;;;;;;;;;;;;
45;18;;;;;;;;;;;;;
46;17;;;;;;;;;;;;;
47;17;;;;;;;;;;;;;
48;9;;;;;;;;;;;;;
49;13;;;;;;;;;;;;;
50;10;;;;;;;;;;;;;
51;5;;;;;;;;;;;;;
52;3;;;;;;;;;;;;;
53;5;;;;;;;;;;;;;
54;3;;;;;;;;;;;;;
55;2;;;;;;;;;;;;;
56;7;;;;;;;;;;;;;
57;8;;;;;;;;;;;;;
58;1;;;;;;;;;;;;;
59;1;;;;;;;;;;;;;
60;3;;;;;;;;;;;;;
61;3;;;;;;;;;;;;;
63;1;;;;;;;;;;;;;
64;2;;;;;;;;;;;;;
67;2;;;;;;;;;;;;;
69;1;;;;;;;;;;;;;
70;2;;;;;;;;;;;;;
72;1;;;;;;;;;;;;;
;;;;;;;;;;;;;;
-119;1;;;;;;;;;;;;;
-107;1;;;;;;;;;;;;;
-104;1;;;;;;;;;;;;;
-98;3;;;;;;;;;;;;;
-96;2;;;;;;;;;;;;;
-95;1;;;;;;;;;;;;;
-93;1;;;;;;;;;;;;;
-91;1;;;;;;;;;;;;;
-90;1;;;;;;;;;;;;;
-89;4;;;;;;;;;;;;;
-88;1;;;;;;;;;;;;;
-87;2;;;;;;;;;;;;;
-86;1;;;;;;;;;;;;;
-84;2;;;;;;;;;;;;;
-83;2;;;;;;;;;;;;;
-82;2;;;;;;;;;;;;;
-81;2;;;;;;;;;;;;;
-80;1;;;;;;;;;;;;;
-79;2;;;;;;;;;;;;;
-78;1;;;;;;;;;;;;;
-77;4;;;;;;;;;;;;;
-76;5;;;;;;;;;;;;;
-75;3;;;;;;;;;;;;;
-74;3;;;;;;;;;;;;;
-73;4;;;;;;;;;;;;;
-72;3;;;;;;;;;;;;;
-71;10;;;;;;;;;;;;;
-70;4;;;;;;;;;;;;;
-69;5;;;;;;;;;;;;;
-68;3;;;;;;;;;;;;;
-67;10;;;;;;;;;;;;;
-66;6;;;;;;;;;;;;;
-65;6;;;;;;;;;;;;;
-64;7;;;;;;;;;;;;;
-63;6;;;;;;;;;;;;;
-62;3;;;;;;;;;;;;;
-61;15;;;;;;;;;;;;;
-60;14;;;;;;;;;;;;;
-59;9;;;;;;;;;;;;;
-58;10;;;;;;;;;;;;;
-57;11;;;;;;;;;;;;;
-56;15;;;;;;;;;;;;;
-55;7;;;;;;;;;;;;;
-54;14;;;;;;;;;;;;;
-53;16;;;;;;;;;;;;;
-52;15;;;;;;;;;;;;;
-51;19;;;;;;;;;;;;;
-50;20;;;;;;;;;;;;;
-49;27;;;;;;;;;;;;;
-48;28;;;;;;;;;;;;;
-47;31;;;;;;;;;;;;;
-46;29;;;;;;;;;;;;;
-45;44;;;;;;;;;;;;;
-44;45;;;;;;;;;;;;;
-43;54;;;;;;;;;;;;;
-42;62;;;;;;;;;;;;;
-41;47;;;;;;;;;;;;;
-40;56;;;;;;;;;;;;;
-39;74;;;;;;;;;;;;;
-38;69;;;;;;;;;;;;;
-37;86;;;;;;;;;;;;;
-36;65;;;;;;;;;;;;;
-35;93;;;;;;;;;;;;;
-34;113;;;;;;;;;;;;;
-33;126;;;;;;;;;;;;;
-32;132;;;;;;;;;;;;;
-31;156;;;;;;;;;;;;;
-30;149;;;;;;;;;;;;;
-29;153;;;;;;;;;;;;;
-28;173;;;;;;;;;;;;;
-27;193;;;;;;;;;;;;;
-26;232;;;;;;;;;;;;;
-25;259;;;;;;;;;;;;;
-24;286;;;;;;;;;;;;;
-23;322;;;;;;;;;;;;;
-22;368;;;;;;;;;;;;;
-21;409;;;;;;;;;;;;;
-20;436;;;;;;;;;;;;;
-19;524;;;;;;;;;;;;;
-18;601;;;;;;;;;;;;;
-17;730;;;;;;;;;;;;;
-16;830;;;;;;;;;;;;;
-15;947;;;;;;;;;;;;;
-14;1200;;;;;;;;;;;;;
-13;1551;;;;;;;;;;;;;
-12;1893;;;;;;;;;;;;;
-11;2238;;;;;;;;;;;;;
-10;3013;;;;;;;;;;;;;
-9;3980;;;;;;;;;;;;;
-8;5068;;;;;;;;;;;;;
-7;6283;;;;;;;;;;;;;
-6;8062;;;;;;;;;;;;;
-5;10794;;;;;;;;;;;;;
-4;13840;;;;;;;;;;;;;
-3;15406;;;;;;;;;;;;;
-2;16837;;;;;;;;;;;;;
-1;19212;;;;;;;;;;;;;
0;22762;;;;;;;;;;;;;
1;19142;;;;;;;;;;;;;
2;17322;;;;;;;;;;;;;
3;15696;;;;;;;;;;;;;
4;14647;;;;;;;;;;;;;
5;11074;;;;;;;;;;;;;
6;8400;;;;;;;;;;;;;
7;6651;;;;;;;;;;;;;
8;5370;;;;;;;;;;;;;
9;4021;;;;;;;;;;;;;
10;2903;;;;;;;;;;;;;
11;2287;;;;;;;;;;;;;
12;1886;;;;;;;;;;;;;
13;1702;;;;;;;;;;;;;
14;1256;;;;;;;;;;;;;
15;1032;;;;;;;;;;;;;
16;817;;;;;;;;;;;;;
17;778;;;;;;;;;;;;;
18;627;;;;;;;;;;;;;
19;481;;;;;;;;;;;;;
20;459;;;;;;;;;;;;;
21;397;;;;;;;;;;;;;
22;354;;;;;;;;;;;;;
23;297;;;;;;;;;;;;;
24;267;;;;;;;;;;;;;
25;238;;;;;;;;;;;;;
26;254;;;;;;;;;;;;;
27;211;;;;;;;;;;;;;
28;179;;;;;;;;;;;;;
29;161;;;;;;;;;;;;;
30;170;;;;;;;;;;;;;
31;144;;;;;;;;;;;;;
32;108;;;;;;;;;;;;;
33;96;;;;;;;;;;;;;
34;119;;;;;;;;;;;;;
35;107;;;;;;;;;;;;;
36;96;;;;;;;;;;;;;
37;83;;;;;;;;;;;;;
38;66;;;;;;;;;;;;;
39;69;;;;;;;;;;;;;
40;70;;;;;;;;;;;;;
41;55;;;;;;;;;;;;;
42;52;;;;;;;;;;;;;
43;53;;;;;;;;;;;;;
44;50;;;;;;;;;;;;;
45;39;;;;;;;;;;;;;
46;41;;;;;;;;;;;;;
47;36;;;;;;;;;;;;;
48;39;;;;;;;;;;;;;
49;39;;;;;;;;;;;;;
50;28;;;;;;;;;;;;;
51;31;;;;;;;;;;;;;
52;25;;;;;;;;;;;;;
53;10;;;;;;;;;;;;;
54;28;;;;;;;;;;;;;
55;15;;;;;;;;;;;;;
56;14;;;;;;;;;;;;;
57;20;;;;;;;;;;;;;
58;10;;;;;;;;;;;;;
59;14;;;;;;;;;;;;;
60;5;;;;;;;;;;;;;
61;12;;;;;;;;;;;;;
62;9;;;;;;;;;;;;;
63;7;;;;;;;;;;;;;
64;6;;;;;;;;;;;;;
65;3;;;;;;;;;;;;;
66;6;;;;;;;;;;;;;
67;8;;;;;;;;;;;;;
68;6;;;;;;;;;;;;;
69;6;;;;;;;;;;;;;
70;3;;;;;;;;;;;;;
71;8;;;;;;;;;;;;;
72;1;;;;;;;;;;;;;
73;4;;;;;;;;;;;;;
74;3;;;;;;;;;;;;;
75;2;;;;;;;;;;;;;
76;3;;;;;;;;;;;;;
77;3;;;;;;;;;;;;;
78;5;;;;;;;;;;;;;
79;3;;;;;;;;;;;;;
80;2;;;;;;;;;;;;;
81;1;;;;;;;;;;;;;
82;1;;;;;;;;;;;;;
83;1;;;;;;;;;;;;;
87;2;;;;;;;;;;;;;
88;2;;;;;;;;;;;;;
91;1;;;;;;;;;;;;;
92;2;;;;;;;;;;;;;
94;1;;;;;;;;;;;;;
96;1;;;;;;;;;;;;;
130;1;;;;;;;;;;;;;
;;;;;;;;;;;;;;
-140;1;;;;;;;;;;;;;
-134;2;;;;;;;;;;;;;
-133;3;;;;;;;;;;;;;
-131;1;;;;;;;;;;;;;
